order_id,order_date,customer_id,product_id,store_id,sales_channel,quantity,unit_price,discount_pct,total_amount
O00024,2024-07-16,C0721,P0771,,Online,2,155.11,0.1,279.2
O00025,2024-05-19,C0733,P0431,S059,In-Store,1,39.3,0.05,37.33
O00026,2025-03-07,C0053,P0366,S046,In-Store,2,230.23,0.2,368.37
O00027,2025-04-03,C0675,P0326,S035,In-Store,2,134.39,0.2,215.02
O00028,2023-08-17,C0694,P0969,S048,In-Store,2,171.98,0.2,275.17
O00029,2024-07-12,C0540,P0579,,Online,1,137.64,0.05,130.76
O00030,2024-10-21,C0561,P0806,,Online,1,38.24,0.1,34.42
O00031,2024-02-18,C0594,P0110,S045,In-Store,3,280.19,0.1,756.51
O00032,2025-01-27,C0167,P1182,,Online,1,275.08,0.2,220.06
O00033,2024-06-19,C0148,P0429,,Online,1,257.83,0.05,244.94
O00034,2024-06-04,C0009,P0741,S036,In-Store,2,25.86,0.0,51.72
O00035,2023-09-14,C0151,P0771,S027,In-Store,1,155.11,0.05,147.35
O00036,2023-12-14,C0098,P0728,S011,In-Store,3,242.37,0.0,727.11
O00037,2024-06-14,C0527,P0693,S009,In-Store,2,147.47,0.2,235.95
O00038,2024-11-26,C0121,P0493,S019,In-Store,2,178.11,0.05,338.41
O00039,2024-08-18,C0384,P0183,S055,In-Store,1,304.66,0.2,243.73
O00040,2023-04-19,C0668,P0911,S007,In-Store,3,298.36,0.0,895.08
O00041,2023-12-30,C0500,P1043,,Online,2,321.82,0.2,514.91
O00042,2024-01-13,C0763,P0193,S011,In-Store,1,62.96,0.2,50.37
O00043,2024-05-28,C0660,P0888,,Online,2,99.91,0.05,189.83
O00044,2023-12-09,C0065,P1100,,Online,1,74.54,0.0,74.54
O00045,2024-05-10,C0549,P1085,S033,In-Store,2,42.67,0.0,85.34
O00046,2025-02-09,C0212,P0240,,Online,10,85.49,0.05,812.2
O00047,2023-08-01,C0457,P0643,,Online,1,252.43,0.05,239.81
O00048,2024-08-29,C0668,P0330,,Online,1,355.55,0.1,320.0
O00049,2024-05-02,C0035,P0173,S032,In-Store,3,209.18,0.1,564.79
O00050,2023-07-13,C0557,P0351,S017,In-Store,1,170.33,0.0,170.33
O00051,2024-07-05,C0047,P1063,S018,In-Store,3,71.55,0.2,171.72
O00052,2023-06-07,C0502,P0640,S022,In-Store,1,215.37,0.05,204.6
O00053,2023-10-19,C0678,P0091,,Online,1,27.29,0.05,25.93
O00054,2023-07-20,C0220,P0274,S013,In-Store,1,285.95,0.1,257.36
O00055,2023-05-12,C0746,P0864,,Online,3,113.48,0.1,306.4
O00056,2023-05-27,C0665,P0334,S005,In-Store,1,135.83,0.1,122.25
O00057,2024-03-30,C0711,P0293,S004,In-Store,1,259.84,0.1,233.86
O00058,2023-08-24,C0713,P0394,S036,In-Store,2,219.0,0.05,416.1
O00059,2023-11-06,C0157,P0647,S027,In-Store,2,139.35,0.2,222.96
O00060,2024-04-19,C0618,P0506,,Online,3,76.44,0.0,229.32
O00061,2025-01-03,C0700,P1123,S021,In-Store,3,75.06,0.0,225.18
O00062,2024-03-09,C0341,P0559,,Online,1,286.97,0.05,272.62
O00063,2023-06-22,C0100,P0772,S014,In-Store,1,121.36,0.2,97.09
O00064,2023-08-20,C0596,P0252,,Online,1,231.15,0.1,208.03
O00065,2023-07-17,C0501,P0195,S044,In-Store,2,151.18,0.1,272.12
O00066,2023-11-01,C0622,P0202,S010,In-Store,1,218.6,0.1,196.74
O00067,2025-02-04,C0398,P0370,S047,In-Store,1,106.39,0.2,85.11
O00068,2024-06-12,C0130,P0530,,Online,2,274.32,0.05,521.21
O00069,2025-02-13,C0146,P0775,S017,In-Store,1,22.99,0.0,22.99
O00070,2025-02-22,C0654,P0758,S015,In-Store,2,218.78,0.2,350.05
O00071,2023-07-12,C0187,P0898,S051,In-Store,1,204.25,0.2,163.4
O00072,2023-05-01,C0282,P0876,S045,In-Store,1,181.91,0.05,172.81
O00073,2024-05-04,C0089,P0625,S020,In-Store,1,249.56,0.0,249.56
O00074,2024-11-24,C0078,P0491,S010,In-Store,2,205.2,0.0,410.4
O00075,2023-12-14,C0292,P1134,S051,In-Store,3,40.51,0.0,121.53
O00076,2023-10-29,C0434,P1041,S008,In-Store,1,127.15,0.2,101.72
O00077,2024-09-09,C0701,P1090,S025,In-Store,1,32.87,0.0,32.87
O00078,2024-06-02,C0763,P0014,,In-Store,1,34.42,0.1,30.98
O00079,2024-01-06,C0756,P1081,S002,In-Store,1,26.3,0.2,21.04
O00080,2023-10-22,C0690,P1072,S011,In-Store,1,200.65,0.0,200.65
O00081,2024-03-11,C0136,P1052,S003,In-Store,1,190.93,0.2,152.74
O00082,2024-05-13,C0174,P0764,S021,In-Store,1,241.25,0.05,229.19
O00083,2023-06-05,C0784,P0241,,Online,1,195.47,0.2,156.38
O00084,2024-11-05,C0218,P0004,S036,In-Store,2,88.47,0.2,141.55
O00085,2024-03-15,C0312,P1055,S002,In-Store,2,200.83,0.2,321.33
O00086,2023-06-20,C0499,P0117,S039,In-Store,1,197.56,0.2,158.05
O00087,2023-09-12,C0362,P0219,,Online,2,125.63,0.05,238.7
O00088,2024-05-31,C0009,P0207,S012,In-Store,1,176.19,0.0,176.19
O00089,2023-05-04,C0157,P0841,,Online,10,101.01,0.2,808.1
O00090,2024-09-19,C0787,P0512,,Online,3,258.13,0.2,619.51
O00091,2023-08-26,C0373,P0877,S034,In-Store,3,238.06,0.1,642.76
O00092,2024-03-01,C0449,P0899,,Online,1,118.47,0.1,106.62
O00093,2024-03-18,C0005,P0735,S045,In-Store,2,196.86,0.05,374.03
O00094,2024-11-25,C0291,P0082,,Online,2,177.36,0.2,283.78
O00095,2024-02-27,C0032,P0328,S017,In-Store,1,126.04,0.2,100.83
O00096,2024-04-14,C0272,P0243,S035,In-Store,2,62.91,0.2,100.66
O00097,2025-02-15,C0731,P0260,S048,In-Store,3,116.29,0.2,279.1
O00098,2023-05-30,C0759,P0796,,Online,1,87.96,0.0,87.96
O00099,2024-09-06,C0129,P0318,S000,In-Store,1,80.1,0.05,76.09
O00100,2024-02-29,C0350,P0879,S047,In-Store,3,168.21,0.0,504.63
O00101,2024-12-17,C0296,P0577,S048,In-Store,2,309.01,0.2,494.42
O00102,2024-09-21,C0156,P1047,,Online,2,126.31,0.1,227.36
O00103,2025-01-13,C0269,P0506,S027,In-Store,2,76.44,0.05,145.24
O00104,2024-12-04,C0596,P0211,S032,In-Store,2,143.29,0.05,272.25
O00105,2023-07-25,C0605,P0304,,Online,1,138.55,0.05,131.62
O00106,2024-08-19,C0280,P0393,S027,In-Store,3,301.95,0.0,905.85
O00107,2024-12-19,C0093,P0104,S033,In-Store,3,237.61,0.1,641.55
O00108,2023-07-16,C0236,P0454,S030,In-Store,1,57.81,0.0,57.81
O00109,2023-05-01,C0659,P0105,S017,In-Store,1,49.07,0.1,44.16
O00110,2023-10-16,C0359,P0856,,Online,1,72.18,0.0,72.18
O00111,2024-06-23,C0000,P0106,S020,In-Store,2,117.1,0.05,222.49
O00112,2024-09-12,C0286,P0206,,In-Store,2,44.72,0.2,71.55
O00113,2024-05-11,C0311,P0228,,Online,1,59.1,0.0,59.1
O00114,2025-03-26,C0788,P0266,S047,In-Store,3,273.92,0.1,739.58
O00115,2025-02-03,C0603,P1083,S015,In-Store,1,186.78,0.1,168.1
O00116,2024-09-07,C0393,P0178,S008,In-Store,2,129.07,0.0,258.14
O00117,2024-09-09,C0670,P0390,,Online,1,178.02,0.2,142.42
O00118,2024-06-14,C0076,P1119,S019,In-Store,1,64.93,0.2,51.94
O00119,2024-08-13,C0206,P1092,S002,In-Store,1,48.28,0.05,45.87
O00120,2023-12-29,C0563,P0517,S048,In-Store,2,203.43,0.1,366.17
O00121,2025-03-01,C0459,P0240,S004,In-Store,1,85.49,0.2,68.39
O00122,2023-07-03,C0515,P0044,,Online,1,22.6,0.1,20.34
O00123,2024-06-24,C0132,P0593,,Online,2,71.58,0.0,143.16
O00124,2023-11-16,C0710,P0389,S025,In-Store,1,277.24,0.2,221.79
O00125,2024-05-25,C0525,P0153,,Online,1,56.67,0.2,45.34
O00126,2024-04-19,C0399,P0820,S013,In-Store,30,310.73,0.05,8855.800000000001
O00127,2023-08-13,C0585,P0446,S000,In-Store,3,89.71,0.2,215.3
O00128,2023-08-16,C0737,P1075,,Online,1,285.01,0.05,270.76
O00129,2024-02-24,C0274,P1130,,Online,2,208.54,0.05,396.23
O00130,2023-05-03,C0243,P0597,,Online,1,105.66,0.05,100.38
O00131,2024-05-15,C0284,P0272,,Online,2,43.92,0.0,87.84
O00132,2024-01-28,C0254,P0430,S000,In-Store,2,126.13,0.1,227.03
O00133,2023-04-14,C0377,P0664,,Online,1,191.74,0.1,172.57
O00134,2025-01-16,C0418,P0603,S003,In-Store,1,31.8,0.0,31.8
O00135,2023-05-07,C0224,P0572,,Online,1,271.22,0.0,271.22
O00136,2024-04-28,C0796,P1194,,Online,1,50.75,0.2,40.6
O00137,2025-01-10,C0263,P1128,,Online,1,153.7,0.2,122.96
O00138,2024-12-25,C0275,P0417,S051,In-Store,1,56.54,0.2,45.23
O00139,2024-01-17,C0237,P0888,S057,In-Store,1,99.91,0.2,79.93
O00140,2023-10-05,C0185,P0940,,Online,2,21.41,0.05,40.68
O00141,2024-07-10,C0502,P0369,S001,In-Store,3,314.41,0.1,848.91
O00142,2023-06-01,C0181,P0807,S012,In-Store,1,135.25,0.0,135.25
O00143,2023-04-23,C0436,P0502,S041,In-Store,2,256.28,0.2,410.05
O00144,2023-05-03,C0539,P0281,S051,In-Store,2,197.67,0.0,395.34
O00145,2025-03-22,C0386,P0786,,Online,2,21.67,0.0,43.34
O00146,2024-10-21,C0659,P0089,,Online,2,229.1,0.0,458.2
O00147,2023-12-24,C0642,P0027,S000,In-Store,2,236.79,0.0,473.58
O00148,2024-05-22,C0346,P0174,,Online,2,178.88,0.2,286.21
O00149,2023-06-14,C0454,P0334,S030,In-Store,1,135.83,0.05,129.04
O00150,2023-06-30,C0556,P0547,S007,In-Store,2,235.33,0.0,470.66
O00151,2025-01-27,C0105,P1115,,Online,2,265.8,0.2,425.28
O00152,2024-02-18,C0229,P0049,,Online,1,186.29,0.2,149.03
O00153,2024-04-28,C0671,P0587,,Online,2,78.06,0.2,124.9
O00154,2024-06-27,C0732,P0230,S007,In-Store,2,73.43,0.05,139.52
O00155,2023-09-26,C0288,P0731,,Online,1,138.18,0.1,124.36
O00156,2024-01-29,C0086,P0088,S011,In-Store,3,361.93,0.2,868.63
O00157,2023-06-09,C0614,P0371,S009,In-Store,4,229.56,0.1,826.42
O00158,2024-09-03,C0293,P0713,S017,In-Store,1,175.75,0.2,140.6
O00159,2023-07-20,C0271,P0156,S055,In-Store,1,140.3,0.05,133.28
O00160,2023-09-30,C0150,P0655,,Online,2,25.85,0.2,41.36
O00161,2023-04-16,C0526,P0979,S007,In-Store,2,117.11,0.2,187.38
O00162,2024-12-12,C0285,P0296,,Online,1,34.89,0.05,33.15
O00163,2024-08-26,C0394,P0722,S027,In-Store,3,17.67,0.2,42.41
O00164,2025-01-22,C0423,P0682,,Online,1,197.42,0.05,187.55
O00165,2025-03-27,C0562,P1018,S031,In-Store,2,167.01,0.05,317.32
O00166,2023-07-14,C0594,P0863,S049,In-Store,1,109.7,0.05,104.22
O00167,2024-07-15,C0240,P0740,,Online,3,149.47,0.0,448.41
O00168,2023-09-29,C0485,P0273,S003,In-Store,3,125.14,0.1,337.88
O00169,2025-01-02,C0797,P0285,,Online,1,86.63,0.05,82.3
O00170,2024-07-18,C0564,P0862,,Online,1,105.88,0.05,100.59
O00171,2025-04-09,C0141,P0240,S045,In-Store,2,85.49,0.05,162.43
O00172,2023-07-05,C0026,P0869,S044,In-Store,1,216.72,0.0,216.72
O00173,2025-01-08,C0075,P0976,S055,In-Store,1,290.2,0.05,275.69
O00174,2024-08-04,C0374,P0289,,Online,2,17.32,0.0,34.64
O00175,2024-12-12,C0426,P0306,S030,In-Store,1,148.17,0.05,140.76
O00176,2024-10-19,C0715,P0613,S046,In-Store,1,316.84,0.1,285.16
O00177,2024-09-22,C0660,P0027,,Online,1,236.79,0.05,224.95
O00178,2025-03-21,C0657,P0065,S011,In-Store,1,103.15,0.05,97.99
O00179,2023-11-11,C0433,P0930,S053,In-Store,3,201.43,0.1,543.86
O00180,2024-08-15,C0513,P0626,S027,In-Store,1,352.02,0.05,334.42
O00181,2023-05-09,C0094,P1068,S017,In-Store,2,222.82,0.05,423.36
O00182,2024-04-07,C0410,P0114,,Online,1,291.58,0.05,277.0
O00183,2025-03-24,C0572,P0158,S029,In-Store,1,106.61,0.2,85.29
O00184,2024-09-02,C0657,P0829,S010,In-Store,2,244.31,0.0,488.62
O00185,2024-04-15,C0662,P0868,,Online,2,207.53,0.0,415.06
O00186,2023-06-15,C0371,P0687,,Online,2,207.29,0.1,373.12
O00187,2024-12-12,C0109,P0133,,Online,2,50.24,0.0,100.48
O00188,2023-08-18,C0316,P0384,S040,In-Store,1,35.44,0.0,35.44
O00189,2024-11-15,C0087,P1167,S036,In-Store,1,55.44,0.2,44.35
O00190,2023-10-09,C0322,P0190,S000,In-Store,1,232.24,0.1,209.02
O00191,2024-02-09,C0407,P1024,,Online,1,22.98,0.2,18.38
O00192,2024-09-16,C0132,P0199,S057,In-Store,4,115.92,0.0,463.68
O00193,2023-10-08,C0793,P0307,,Online,3,184.0,0.2,441.6
O00194,2024-04-27,C0038,P0594,,Online,1,9.3,0.2,7.44
O00195,2023-12-03,C0640,P0191,S014,In-Store,1,208.21,0.05,197.8
O00196,2023-07-10,C0669,P0288,S010,In-Store,2,281.92,0.1,507.46
O00197,2025-02-18,C0134,P0694,,Online,2,156.82,0.2,250.91
O00198,2024-03-04,C0729,P0793,,Online,2,273.34,0.0,546.68
O00199,2025-01-03,C0580,P1018,,Online,1,167.01,0.0,167.01
O00200,2025-02-01,C0316,P1120,S051,In-Store,1,146.64,0.0,146.64
O00201,2023-10-11,C0465,P0642,,Online,2,258.83,0.1,465.89
O00202,2024-09-09,C0286,P1180,S005,In-Store,2,89.37,0.0,178.74
O00203,2024-06-05,C0790,P0943,,Online,1,181.12,0.2,144.9
O00204,2023-12-11,C0781,P0905,S008,In-Store,1,138.07,0.0,138.07
O00205,2024-10-14,C0499,P0081,S018,In-Store,1,102.43,0.2,81.94
O00206,2024-08-26,C0634,P0264,S032,In-Store,2,69.39,0.1,124.9
O00207,2024-03-27,C0698,P0846,S016,In-Store,4,257.54,0.0,1030.16
O00208,2024-12-09,C0659,P0116,S015,In-Store,2,196.71,0.0,393.42
O00209,2024-08-06,C0107,P0595,S036,In-Store,1,277.06,0.2,221.65
O00210,2024-10-29,C0228,P0795,S042,In-Store,2,255.38,0.0,510.76
O00211,2023-10-07,C0479,P1095,S029,In-Store,2,96.11,0.0,192.22
O00212,2023-08-05,C0749,P0221,S059,In-Store,2,58.35,0.2,93.36
O00213,2023-12-07,C0204,P0822,S020,In-Store,2,79.83,0.1,143.69
O00214,2024-12-31,C0497,P0435,S030,In-Store,4,254.88,0.0,1019.52
O00215,2023-11-30,C0039,P1116,,Online,1,207.01,0.2,165.61
O00216,2023-06-28,C0218,P0655,S038,In-Store,2,25.85,0.2,41.36
O00217,2024-11-24,C0370,P0880,S013,In-Store,1,166.53,0.0,166.53
O00218,2025-02-16,C0023,P0866,,Online,2,64.96,0.05,123.42
O00219,2023-11-20,C0070,P0560,S019,In-Store,1,59.02,0.2,47.22
O00220,2024-05-20,C0537,P0438,S016,In-Store,1,270.3,0.05,256.79
O00221,2024-01-19,C0094,P0877,S048,In-Store,1,238.06,0.1,214.25
O00222,2024-12-01,C0357,P0858,S034,In-Store,2,309.56,0.05,588.16
O00223,2025-03-18,C0447,P0726,S036,In-Store,2,268.98,0.2,430.37
O00224,2024-07-20,C0574,P1016,,Online,1,321.0,0.05,304.95
O00225,2024-11-21,C0751,P0648,,Online,2,240.95,0.2,385.52
O00226,2023-10-05,C0511,P0648,,Online,1,240.95,0.2,192.76
O00227,2023-06-04,C0739,P0007,S017,In-Store,1,276.22,0.05,262.41
O00228,2025-01-15,C0654,P1184,,Online,1,32.67,0.05,31.04
O00229,2024-08-30,C0192,P0860,S049,In-Store,1,179.4,0.05,170.43
O00230,2023-11-02,C0221,P0712,,Online,4,124.0,0.05,471.2
O00231,2025-04-03,C0590,P0029,S023,In-Store,2,37.24,0.0,74.48
O00232,2024-04-03,C0314,P1028,S007,In-Store,1,233.27,0.2,186.62
O00233,2023-08-28,C0466,P0847,S022,In-Store,1,292.23,0.2,233.78
O00234,2024-11-29,C0783,P0687,,Online,3,207.29,0.05,590.78
O00235,2025-01-03,C0382,P0362,S010,In-Store,4,149.41,0.2,478.11
O00236,2024-11-19,C0675,P0895,S044,In-Store,1,205.55,0.0,205.55
O00237,2024-02-15,C0106,P0183,S039,In-Store,1,304.66,0.2,243.73
O00238,2025-04-09,C0767,P1115,,Online,3,265.8,0.2,637.92
O00239,2024-02-02,C0033,P0593,S013,In-Store,2,71.58,0.05,136.0
O00240,2024-07-09,C0564,P0780,,Online,1,253.19,0.2,202.55
O00241,2025-03-04,C0359,P0950,S052,In-Store,20,182.2,0.2,2915.2
O00242,2024-04-10,C0383,P0458,S017,In-Store,1,296.72,0.1,267.05
O00243,2025-02-14,C0480,P0849,S000,In-Store,2,111.61,0.2,178.58
O00244,2023-07-04,C0026,P0314,S053,In-Store,2,144.23,0.1,259.61
O00245,2023-06-27,C0585,P0880,,Online,2,166.53,0.2,266.45
O00246,2024-07-14,C0659,P0805,S051,In-Store,1,290.78,0.2,232.62
O00247,2024-01-01,C0651,P0799,,In-Store,2,61.07,0.2,97.71
O00248,2024-11-12,C0529,P0324,S006,In-Store,1,96.35,0.05,91.53
O00249,2024-09-16,C0646,P1181,S053,In-Store,2,64.84,0.1,116.71
O00250,2023-08-27,C0162,P0660,,Online,1,161.23,0.0,161.23
O00251,2024-11-27,C0011,P0111,,Online,1,184.61,0.0,184.61
O00252,2024-04-23,C0025,P0267,S040,In-Store,1,349.07,0.1,314.16
O00253,2024-02-21,C0668,P0454,,Online,2,57.81,0.05,109.84
O00254,2025-01-17,C0526,P0774,S042,In-Store,2,58.03,0.0,116.06
O00255,2024-08-20,C0147,P0047,S037,In-Store,1,141.0,0.0,141.0
O00256,2024-08-14,C0610,P0251,,Online,2,201.63,0.1,362.93
O00257,2023-08-11,C0184,P0190,,Online,1,232.24,0.1,209.02
O00258,2024-01-13,C0212,P0800,,Online,1,100.39,0.0,100.39
O00259,2024-02-09,C0498,P0156,,Online,1,140.3,0.2,112.24
O00260,2023-07-30,C0321,P0923,S011,In-Store,4,73.26,0.1,263.74
O00261,2023-11-21,C0182,P1161,,In-Store,1,32.57,0.0,32.57
O00262,2023-07-27,C0351,P0710,S039,In-Store,3,23.5,0.0,70.5
O00263,2024-05-01,C0759,P0521,S012,In-Store,2,206.03,0.0,412.06
O00264,2024-10-16,C0530,P1048,S013,In-Store,2,60.3,0.1,108.54
O00265,2023-10-17,C0222,P0060,S014,In-Store,3,146.26,0.0,438.78
O00266,2024-05-11,C0129,P0548,,Online,2,209.52,0.05,398.09
O00267,2024-06-06,C0356,P1129,S029,In-Store,2,81.51,0.2,130.42
O00268,2025-02-03,C0409,P0395,,Online,1,78.81,0.05,74.87
O00269,2024-12-29,C0734,P0575,S006,In-Store,3,101.87,0.1,275.05
O00270,2023-05-26,C0210,P0999,S028,In-Store,3,185.46,0.2,445.1
O00271,2023-07-31,C0278,P0652,S038,In-Store,1,171.03,0.2,136.82
O00272,2024-10-30,C0580,P0722,S040,In-Store,1,17.67,0.0,17.67
O00273,2024-08-21,C0034,P1047,,Online,1,126.31,0.2,101.05
O00274,2023-07-11,C0660,P1086,S001,In-Store,1,80.63,0.0,80.63
O00275,2023-12-22,C0330,P0879,S022,In-Store,1,168.21,0.05,159.8
O00276,2024-05-28,C0672,P0761,S049,In-Store,3,240.31,0.1,648.84
O00277,2024-10-24,C0326,P0022,S013,In-Store,1,124.36,0.2,99.49
O00278,2024-05-04,C0329,P0476,S024,In-Store,1,52.23,0.1,47.01
O00279,2024-02-16,C0539,P0445,,Online,2,35.94,0.1,64.69
O00280,2024-11-07,C0687,P0153,S041,In-Store,2,56.67,0.2,90.67
O00281,2024-01-22,C0445,P0650,S012,In-Store,1,190.7,0.05,181.16
O00282,2024-03-21,C0505,P1021,,Online,1,176.65,0.1,158.99
O00283,2023-05-20,C0127,P0927,,Online,2,33.5,0.1,60.3
O00284,2023-08-14,C0242,P1180,,Online,3,89.37,0.0,268.11
O00285,2023-09-03,C0589,P0009,S018,In-Store,1,250.87,0.05,238.33
O00286,2023-10-18,C0412,P0075,S058,In-Store,1,199.17,0.0,199.17
O00287,2023-10-03,C0016,P0142,S053,In-Store,2,132.42,0.2,211.87
O00288,2024-01-03,C0281,P0649,S025,In-Store,1,266.25,0.0,266.25
O00289,2023-10-29,C0320,P1011,S025,In-Store,1,88.39,0.1,79.55
O00290,2024-03-04,C0465,P1010,S058,In-Store,1,228.83,0.0,228.83
O00291,2024-04-30,C0632,P0210,,Online,1,193.02,0.0,193.02
O00292,2024-12-22,C0142,P0215,S055,In-Store,1,203.42,0.2,162.74
O00293,2023-12-10,C0090,P0391,S051,In-Store,1,234.22,0.1,210.8
O00294,2023-06-04,C0550,P0010,S055,In-Store,2,99.46,0.0,198.92
O00295,2023-09-24,C0797,P0088,,Online,3,361.93,0.1,977.21
O00296,2024-03-16,C0337,P0777,,Online,2,145.77,0.05,276.96
O00297,2023-10-05,C0597,P0943,,Online,1,181.12,0.1,163.01
O00298,2024-07-19,C0771,P1196,S057,In-Store,1,103.64,0.2,82.91
O00299,2023-07-17,C0684,P0250,S015,In-Store,1,294.26,0.2,235.41
O00300,2024-08-18,C0287,P0659,S030,In-Store,2,218.6,0.05,415.34
O00301,2024-10-05,C0784,P0606,S022,In-Store,2,6.77,0.05,12.86
O00302,2024-04-05,C0752,P0421,S004,In-Store,1,322.09,0.2,257.67
O00303,2023-08-12,C0013,P0442,S024,In-Store,2,206.69,0.05,392.71
O00304,2024-02-23,C0348,P0427,S048,In-Store,2,219.82,0.1,395.68
O00305,2023-09-01,C0319,P0929,S054,In-Store,3,34.13,0.0,102.39
O00306,2023-06-09,C0224,P0744,S028,In-Store,2,190.33,0.05,361.63
O00307,2023-12-14,C0192,P0140,,Online,2,187.12,0.05,355.53
O00308,2025-04-03,C0591,P0209,,Online,2,25.81,0.0,51.62
O00309,2023-12-05,C0246,P0033,S011,In-Store,3,288.63,0.1,779.3
O00310,2025-02-25,C0677,P1087,S016,In-Store,2,36.72,0.0,73.44
O00311,2024-01-28,C0086,P0725,S009,In-Store,1,240.4,0.2,192.32
O00312,2024-03-23,C0520,P0683,,Online,3,27.06,0.1,73.06
O00313,2025-03-09,C0050,P0783,S027,In-Store,2,59.11,0.05,112.31
O00314,2023-04-16,C0412,P0361,S033,In-Store,1,214.0,0.2,171.2
O00315,2023-07-16,C0111,P0102,S007,In-Store,1,221.14,0.05,210.08
O00316,2023-04-16,C0036,P1178,,Online,2,63.25,0.0,126.5
O00317,2025-03-30,C0282,P0463,S044,In-Store,2,192.98,0.2,308.77
O00318,2024-04-06,C0103,P0450,S056,In-Store,2,225.1,0.1,405.18
O00319,2023-07-10,C0175,P0416,S018,In-Store,2,166.68,0.1,300.02
O00320,2023-05-02,C0096,P0379,,In-Store,3,186.5,0.2,447.6
O00321,2024-08-14,C0704,P0488,,Online,3,197.17,0.0,591.51
O00322,2024-06-14,C0340,P0932,,Online,2,249.21,0.0,498.42
O00323,2023-09-27,C0438,P0684,,Online,2,222.84,0.1,401.11
O00324,2024-01-25,C0174,P0019,S030,In-Store,1,175.44,0.0,175.44
O00325,2024-01-27,C0253,P0967,,Online,2,177.85,0.0,355.7
O00326,2023-09-02,C0297,P0467,S010,In-Store,3,102.73,0.05,292.78
O00327,2024-08-04,C0102,P0623,S021,In-Store,1,122.49,0.2,97.99
O00328,2025-03-17,C0359,P1117,,Online,1,233.4,0.2,186.72
O00329,2023-11-02,C0469,P0027,S019,In-Store,1,236.79,0.1,213.11
O00330,2024-03-05,C0793,P0684,S017,In-Store,1,222.84,0.0,222.84
O00331,2024-06-24,C0420,P0451,S009,In-Store,1,34.75,0.1,31.28
O00332,2024-05-22,C0250,P1182,S027,In-Store,1,275.08,0.1,247.57
O00333,2023-12-12,C0091,P0396,S024,In-Store,1,242.65,0.0,242.65
O00334,2024-09-19,C0641,P1115,S028,In-Store,2,265.8,0.05,505.02
O00335,2023-12-08,C0695,P0714,S025,In-Store,2,219.22,0.2,350.75
O00336,2025-03-09,C0282,P0633,,Online,1,13.12,0.1,11.81
O00337,2023-06-24,C0125,P0887,S036,In-Store,3,92.06,0.1,248.56
O00338,2024-11-14,C0008,P1021,S009,In-Store,2,176.65,0.2,282.64
O00339,2024-08-29,C0535,P0593,,In-Store,3,71.58,0.05,204.0
O00340,2024-01-02,C0295,P0132,S000,In-Store,1,63.3,0.2,50.64
O00341,2024-12-31,C0289,P0770,,Online,2,221.83,0.2,354.93
O00342,2024-08-24,C0440,P0721,S000,In-Store,1,255.39,0.0,255.39
O00343,2023-08-27,C0358,P0580,S032,In-Store,2,220.06,0.05,418.11
O00344,2025-03-28,C0730,P0554,,Online,2,115.46,0.05,219.37
O00345,2023-09-21,C0082,P0595,,Online,2,277.06,0.2,443.3
O00346,2024-07-09,C0254,P0791,S057,In-Store,1,64.75,0.0,64.75
O00347,2024-05-15,C0309,P1016,S036,In-Store,1,321.0,0.2,256.8
O00348,2023-09-06,C0330,P1184,,Online,2,32.67,0.05,62.07
O00349,2024-04-15,C0426,P1135,,Online,1,65.37,0.1,58.83
