product_id,product_name,category,brand,cost_price,unit_price,margin_pct
P0144,BrandD Mind,Home & Kitchen,BrandC,10.04,13.11,23.42
P0145,BrandA Stay,Home & Kitchen,BrandA,153.81,193.44,20.49
P0146,BrandD Church,Home & Kitchen,BrandB,199.4,297.56,32.99
P0147,BrandD Safe,Electronics,BrandD,72.85,101.99,28.57
P0148,BrandA Particular,Apparel,BrandC,85.27,131.82,35.31
P0149,BrandD Hot,Electronics,BrandD,22.17,29.42,24.64
P0150,BrandA Serious,Personal Care,BrandA,133.24,211.63,37.04
P0151,BrandD Side,Electronics,BrandB,106.1,176.17,39.77
P0152,BrandD Growth,Personal Care,BrandA,44.69,71.25,37.28
P0153,BrandC Surface,Personal Care,BrandD,28.68,56.67,49.39
P0154,BrandB Alone,Apparel,BrandC,112.41,179.52,37.38
P0155,BrandA World,Apparel,BrandA,94.98,114.52,17.06
P0156,BrandB Smile,Personal Care,BrandC,104.23,140.3,25.71
P0157,BrandD Past,Personal Care,BrandB,94.07,115.72,18.71
P0158,BrandB Value,Apparel,BrandA,58.87,106.61,44.78
P0159,BrandD Some,Home & Kitchen,BrandC,165.01,223.52,26.18
P0160,BrandC Memory,Personal Care,BrandB,92.08,141.43,34.89
P0161,BrandC Least,Personal Care,BrandD,186.91,351.88,46.88
P0162,BrandB Onto,Personal Care,BrandB,171.92,252.67,31.96
P0163,BrandC Power,Personal Care,,80.29,136.28,41.08
P0164,BrandB Whatever,Personal Care,BrandA,29.62,58.32,49.21
P0165,BrandC Establish,Electronics,BrandD,24.44,46.91,47.9
P0166,BrandA Human,Apparel,BrandD,174.83,344.93,49.31
P0167,BrandA Early,Personal Care,BrandC,71.02,122.4,41.98
P0168,BrandA Mouth,Home & Kitchen,BrandD,191.06,317.95,39.91
P0169,BrandD Get,Electronics,BrandA,50.78,87.14,41.73
P0170,BrandC Education,Apparel,,89.62,106.52,15.87
P0171,BrandA Sometimes,Personal Care,BrandB,140.33,268.46,47.73
P0172,BrandA Difficult,Home & Kitchen,BrandA,62.21,89.42,30.43
P0173,BrandB Player,Apparel,BrandD,115.36,209.18,44.85
P0174,BrandB Decide,Apparel,BrandA,123.85,178.88,30.76
P0175,BrandB Give,Personal Care,BrandB,50.28,84.17,40.26
P0176,BrandD Offer,Home & Kitchen,BrandA,180.29,273.81,34.16
P0177,BrandC May,Apparel,BrandA,91.14,128.6,29.13
P0178,BrandC Use,Personal Care,BrandC,94.08,129.07,27.11
P0179,BrandD Product,Personal Care,BrandA,51.26,82.77,38.07
P0180,BrandC Unit,Home & Kitchen,BrandA,195.7,331.2,40.91
P0181,BrandC Card,Electronics,BrandA,182.57,323.27,43.52
P0182,BrandC Fund,Apparel,BrandC,47.71,60.65,21.34
P0183,BrandC Direction,Apparel,BrandA,181.16,304.66,40.54
P0184,BrandC Think,Personal Care,BrandA,118.02,207.61,43.15
P0185,BrandA Mind,Home & Kitchen,BrandC,150.76,189.67,20.51
P0186,BrandB Who,Home & Kitchen,BrandC,166.94,222.24,24.88
P0187,BrandD Party,Home & Kitchen,BrandC,161.83,246.22,34.27
P0188,BrandA Strong,Apparel,BrandB,172.73,302.59,42.92
P0189,BrandD Tax,Home & Kitchen,BrandA,159.18,177.09,10.11
P0190,BrandA Middle,Personal Care,BrandC,136.2,232.24,41.35
P0191,BrandD Face,Home & Kitchen,BrandA,136.59,208.21,34.4
P0192,BrandC Become,Apparel,BrandA,128.9,195.65,34.12
P0193,BrandC Nothing,Personal Care,BrandA,32.26,62.96,48.76
P0194,BrandC In,Personal Care,BrandA,23.95,45.47,47.33
P0195,BrandB Care,Personal Care,BrandD,77.35,151.18,48.84
P0196,BrandD Strategy,Apparel,BrandD,132.71,245.56,45.96
P0197,BrandD Campaign,Home & Kitchen,BrandA,139.6,180.86,22.81
P0198,BrandD Instead,Apparel,BrandC,24.37,41.85,41.77
P0199,BrandC Grow,Electronics,BrandD,58.8,115.92,49.28
P0200,BrandD While,Electronics,BrandB,130.13,213.08,38.93
P0201,BrandA Good,Electronics,BrandC,52.5,63.7,17.58
P0202,BrandB Simple,Electronics,BrandB,119.34,218.6,45.41
P0203,BrandB Since,Home & Kitchen,BrandB,158.79,259.84,38.89
P0204,BrandC Right,Apparel,BrandB,110.34,200.67,45.01
P0205,BrandA Congress,Electronics,BrandB,7.9,14.31,44.79
P0206,BrandB Police,Home & Kitchen,BrandA,38.98,44.72,12.84
P0207,BrandD Use,Electronics,BrandA,97.87,176.19,44.45
P0208,BrandA Situation,Personal Care,BrandB,189.36,215.69,12.21
P0209,BrandC Over,Personal Care,BrandA,16.86,25.81,34.68
P0210,BrandD Discuss,Personal Care,BrandA,100.6,193.02,47.88
P0211,BrandA Middle,Electronics,BrandC,123.62,143.29,13.73
P0212,BrandC Finally,Home & Kitchen,BrandD,198.95,313.84,36.61
P0213,BrandD Young,Personal Care,BrandA,159.65,192.05,16.87
P0214,BrandB Apply,Personal Care,BrandD,178.18,262.36,32.09
P0215,BrandD Whom,Personal Care,BrandD,147.27,203.42,27.6
P0216,BrandC Between,Home & Kitchen,BrandC,190.95,328.08,41.8
P0217,BrandD Husband,Electronics,BrandA,167.2,197.95,15.53
P0218,BrandA Child,Home & Kitchen,BrandB,113.49,184.74,38.57
P0219,BrandC Radio,Electronics,BrandD,73.95,125.63,41.14
P0220,BrandD Artist,Electronics,BrandC,122.08,172.92,29.4
P0221,BrandB Network,Apparel,BrandD,48.73,58.35,16.49
P0222,BrandC Business,Electronics,BrandC,116.95,213.61,45.25
P0223,BrandA Song,Home & Kitchen,BrandA,40.18,69.61,42.28
P0224,BrandC Mouth,Home & Kitchen,BrandC,6.19,11.66,46.91
P0225,BrandD Week,Electronics,BrandB,149.49,295.19,49.36
P0226,BrandA Other,Apparel,BrandD,86.87,122.21,28.92
P0227,BrandC Recent,Home & Kitchen,BrandC,156.48,252.06,37.92
P0228,BrandA Herself,Electronics,BrandB,35.69,59.1,39.61
P0229,BrandA Degree,Home & Kitchen,BrandD,134.08,206.09,34.94
P0230,BrandD Car,Personal Care,BrandC,47.04,73.43,35.94
P0231,BrandC Part,Personal Care,BrandA,60.23,103.03,41.54
P0232,BrandD Poor,Home & Kitchen,BrandA,48.0,95.33,49.65
P0233,BrandA Relationship,Electronics,BrandB,63.78,82.28,22.48
P0234,BrandB Cup,Home & Kitchen,BrandC,68.98,76.36,9.66
P0235,BrandD List,Apparel,BrandB,79.14,137.17,42.31
P0236,BrandC Still,Electronics,BrandD,173.04,196.93,12.13
P0237,BrandA During,Personal Care,BrandA,173.11,280.12,38.2
P0238,BrandD Say,Personal Care,BrandC,27.46,30.72,10.61
P0239,BrandC Market,Apparel,BrandD,167.25,322.42,48.13
P0240,BrandA Real,Personal Care,,52.45,85.49,38.65
P0241,BrandA Town,Personal Care,BrandC,150.43,195.47,23.04
P0242,BrandB Report,Electronics,BrandA,108.47,138.25,21.54
P0243,BrandC Who,Home & Kitchen,,51.07,62.91,18.82
P0244,BrandB Walk,Apparel,BrandB,153.24,258.97,40.83
P0245,BrandB We,Personal Care,BrandD,152.12,271.37,43.94
P0246,BrandD Social,Home & Kitchen,BrandC,34.44,40.0,13.9
P0247,BrandD Hundred,Home & Kitchen,BrandC,120.33,170.48,29.42
P0248,BrandA Teacher,Home & Kitchen,BrandD,93.12,107.2,13.13
P0249,BrandC Firm,Electronics,BrandA,124.93,194.44,35.75
P0250,BrandD Hard,Electronics,BrandD,182.26,294.26,38.06
P0251,BrandB Task,Home & Kitchen,BrandD,102.77,201.63,49.03
P0252,BrandD Do,Electronics,BrandC,196.57,231.15,14.96
P0253,BrandB Someone,Electronics,BrandB,142.99,284.82,49.8
P0254,BrandB Least,Home & Kitchen,BrandC,184.0,266.56,30.97
P0255,BrandC Exactly,Electronics,BrandC,17.85,21.15,15.6
P0256,BrandD Now,Home & Kitchen,BrandC,146.13,247.09,40.86
P0257,BrandB Mean,Home & Kitchen,BrandA,118.63,145.59,18.52
P0258,BrandC Rise,Home & Kitchen,BrandD,30.15,52.4,42.46
P0259,BrandA Current,Home & Kitchen,BrandD,130.48,182.1,28.35
P0260,BrandB Thought,Electronics,BrandD,104.16,116.29,10.43
P0261,BrandC Serve,Apparel,BrandB,71.64,128.2,44.12
P0262,BrandB Speak,Apparel,BrandB,35.21,48.1,26.8
P0263,BrandA Candidate,Electronics,BrandC,175.9,291.33,39.62
P0264,BrandD Pretty,Apparel,BrandB,40.26,69.39,41.98
P0265,BrandB Line,Personal Care,BrandA,85.12,145.45,41.48
P0266,BrandB Often,Personal Care,BrandC,151.72,273.92,44.61
P0267,BrandB Edge,Apparel,BrandC,193.29,349.07,44.63
P0268,BrandB Reason,Home & Kitchen,BrandD,95.03,128.63,26.12
P0269,BrandD Give,Personal Care,BrandB,164.29,299.19,45.09
P0270,BrandB Person,Home & Kitchen,BrandA,130.03,245.33,47.0
P0271,BrandA How,Electronics,BrandC,21.36,26.58,19.64
P0272,BrandD Political,Apparel,BrandD,22.88,43.92,47.91
P0273,BrandD Continue,Home & Kitchen,BrandA,85.9,125.14,31.36
P0274,BrandC Upon,Apparel,BrandD,198.93,285.95,30.43
P0275,BrandA Similar,Home & Kitchen,BrandA,168.64,284.15,40.65
P0276,BrandB Near,Apparel,BrandA,60.94,112.54,45.85
P0277,BrandB Management,Personal Care,,124.99,239.39,47.79
P0278,BrandA Tough,Home & Kitchen,BrandB,167.82,267.49,37.26
P0279,BrandD Significant,Electronics,BrandC,51.34,62.1,17.33
P0280,BrandB Itself,Personal Care,BrandD,17.25,31.96,46.03
P0281,BrandD Force,Electronics,BrandB,145.12,197.67,26.58
P0282,BrandA Where,Home & Kitchen,BrandB,116.28,147.51,21.17
P0283,BrandA Outside,Home & Kitchen,BrandA,190.91,303.48,37.09
P0284,BrandA Become,Personal Care,BrandD,13.49,19.54,30.96
P0285,BrandC Everybody,Home & Kitchen,BrandA,74.63,86.63,13.85
P0286,BrandB Film,Electronics,BrandC,31.01,43.94,29.43
P0287,BrandC Arm,Apparel,BrandD,196.26,300.41,34.67
P0288,BrandB Owner,Apparel,BrandA,144.63,281.92,48.7
P0289,BrandA Toward,Home & Kitchen,BrandB,13.54,17.32,21.82
P0290,BrandA Ball,Home & Kitchen,BrandC,105.5,209.97,49.75
P0291,BrandD Memory,Home & Kitchen,BrandA,151.89,193.2,21.38
P0292,BrandC Use,Electronics,BrandC,58.28,106.04,45.04
P0293,BrandD President,Personal Care,BrandD,179.45,259.84,30.94
P0294,BrandB Whatever,Personal Care,BrandD,76.63,139.28,44.98
P0295,BrandC Right,Electronics,BrandD,20.39,33.48,39.1
P0296,BrandB Popular,Home & Kitchen,BrandC,25.01,34.89,28.32
P0297,BrandC Staff,Home & Kitchen,BrandD,122.51,181.74,32.59
P0298,BrandD Open,Home & Kitchen,BrandD,13.26,24.97,46.9
P0299,BrandC Involve,Personal Care,BrandC,129.7,235.06,44.82
P0300,BrandA Still,Electronics,BrandD,75.85,138.12,45.08
P0301,BrandB Those,Electronics,BrandB,170.49,291.59,41.53
P0302,BrandD Player,Electronics,BrandB,18.11,32.61,44.46
P0303,BrandC Blood,Home & Kitchen,BrandD,190.15,214.71,11.44
P0304,BrandB Treatment,Personal Care,BrandC,77.54,138.55,44.03
P0305,BrandB Best,Home & Kitchen,BrandD,66.31,89.57,25.97
P0306,BrandA Federal,Electronics,BrandB,102.31,148.17,30.95
P0307,BrandA Him,Home & Kitchen,BrandC,142.29,184.0,22.67
P0308,BrandC Adult,Personal Care,BrandB,28.91,53.99,46.45
P0309,BrandD Partner,Apparel,BrandD,199.47,364.92,45.34
P0310,BrandC Policy,Home & Kitchen,BrandA,112.25,152.81,26.54
P0311,BrandC Sign,Apparel,BrandB,159.77,248.9,35.81
P0312,BrandA Already,Apparel,BrandB,51.16,79.02,35.26
P0313,BrandC Trial,Home & Kitchen,BrandD,161.71,258.17,37.36
P0314,BrandA Check,Electronics,BrandC,82.64,144.23,42.7
P0315,BrandD Gas,Personal Care,BrandD,165.55,193.09,14.26
P0316,BrandC Start,Electronics,BrandD,95.84,150.05,36.13
P0317,BrandB None,Apparel,BrandB,89.36,171.54,47.91
P0318,BrandA Mean,Electronics,BrandB,64.3,80.1,19.73
P0319,BrandB Role,Home & Kitchen,BrandC,169.96,225.29,24.56
P0320,BrandC Summer,Apparel,BrandC,124.81,147.79,15.55
P0321,BrandB Usually,Apparel,,133.45,233.35,42.81
P0322,BrandC Tree,Electronics,BrandA,20.84,40.71,48.81
P0323,BrandC Rate,Apparel,,125.53,141.5,11.29
P0324,BrandC Somebody,Home & Kitchen,BrandD,52.75,96.35,45.25
P0325,BrandD Religious,Home & Kitchen,BrandD,19.23,22.19,13.34
P0326,BrandD Half,Personal Care,BrandD,95.57,134.39,28.89
P0327,BrandB Head,Home & Kitchen,BrandC,148.17,277.77,46.66
P0328,BrandD Worry,Apparel,BrandC,105.42,126.04,16.36
P0329,BrandB Build,Personal Care,BrandA,57.16,75.63,24.42
P0330,BrandA Trouble,Electronics,BrandC,189.35,355.55,46.74
P0331,BrandD Machine,Apparel,BrandB,163.63,317.5,48.46
P0332,BrandC Number,Apparel,,102.16,159.7,36.03
P0333,BrandD Something,Home & Kitchen,BrandD,9.52,18.57,48.73
P0334,BrandD While,Apparel,BrandB,118.75,135.83,12.57
P0335,BrandC Environment,Personal Care,BrandD,60.72,67.24,9.7
P0336,BrandA Feel,Personal Care,BrandB,177.08,310.73,43.01
P0337,BrandD Turn,Home & Kitchen,BrandA,83.11,134.08,38.01
P0338,BrandB Read,Home & Kitchen,BrandC,19.34,30.05,35.64
P0339,BrandC Lawyer,Electronics,BrandB,195.14,283.83,31.25
P0340,BrandC Group,Home & Kitchen,BrandB,43.82,68.28,35.82
P0341,BrandA Now,Electronics,BrandA,31.72,44.4,28.56
P0342,BrandD Church,Personal Care,,123.22,192.71,36.06
P0343,BrandC Computer,Home & Kitchen,BrandB,81.63,135.09,39.57
P0344,BrandC Including,Home & Kitchen,,143.2,196.16,27.0
P0345,BrandA Model,Home & Kitchen,BrandC,136.39,270.31,49.54
P0346,BrandC And,Electronics,BrandD,56.78,95.96,40.83
P0347,BrandB Camera,Electronics,BrandD,38.25,63.73,39.98
P0348,BrandD Sport,Apparel,BrandB,11.16,21.8,48.81
P0349,BrandA Base,Apparel,BrandA,91.0,134.4,32.29
P0350,BrandD Either,Apparel,BrandD,102.85,169.74,39.41
P0351,BrandD Debate,Electronics,BrandB,106.14,170.33,37.69
P0352,BrandD Place,Personal Care,BrandC,191.55,289.95,33.94
P0353,BrandC Might,Home & Kitchen,BrandC,123.96,157.81,21.45
P0354,BrandB Memory,Home & Kitchen,,48.85,96.51,49.38
P0355,BrandC Part,Home & Kitchen,,139.6,215.0,35.07
P0356,BrandD Interest,Home & Kitchen,BrandC,61.12,98.78,38.13
P0357,BrandD Animal,Personal Care,BrandC,191.15,348.69,45.18
P0358,BrandC Fight,Electronics,,191.29,224.02,14.61
P0359,BrandD Machine,Home & Kitchen,BrandD,46.73,86.22,45.8
P0360,BrandC Table,Home & Kitchen,BrandB,26.3,46.47,43.4
P0361,BrandB Mrs,Apparel,BrandA,135.62,214.0,36.63
P0362,BrandB Understand,Electronics,,85.59,149.41,42.71
P0363,BrandA Benefit,Apparel,BrandA,193.08,382.32,49.5
P0364,BrandB Evidence,Personal Care,BrandD,98.1,125.52,21.85
P0365,BrandC Through,Home & Kitchen,BrandC,130.95,251.05,47.84
P0366,BrandA Yeah,Apparel,BrandA,183.08,230.23,20.48
P0367,BrandB Why,Electronics,,158.65,201.12,21.12
P0368,BrandC Major,Electronics,BrandA,63.19,103.79,39.12
P0369,BrandC Piece,Home & Kitchen,BrandD,197.87,314.41,37.07
P0370,BrandD Economy,Apparel,BrandD,58.2,106.39,45.3
P0371,BrandC Range,Apparel,BrandD,131.42,229.56,42.75
P0372,BrandA Or,Home & Kitchen,BrandC,115.72,206.16,43.87
P0373,BrandB Environment,Personal Care,BrandD,105.48,124.26,15.11
P0374,BrandA Generation,Apparel,BrandB,98.1,190.53,48.51
P0375,BrandA Research,Home & Kitchen,BrandD,50.93,90.57,43.77
P0376,BrandC Hard,Home & Kitchen,BrandA,56.0,79.72,29.75
P0377,BrandB Set,Electronics,,95.75,119.09,19.6
P0378,BrandC Himself,Electronics,BrandC,76.67,99.58,23.01
P0379,BrandB Outside,Personal Care,BrandB,93.72,186.5,49.75
P0380,BrandC Raise,Personal Care,,152.68,278.15,45.11
P0381,BrandB Someone,Apparel,BrandA,107.47,169.3,36.52
P0382,BrandC Family,Electronics,BrandA,17.04,27.14,37.21
P0383,BrandB Finally,Apparel,BrandB,68.98,108.18,36.24
P0384,BrandA Commercial,Apparel,BrandD,22.73,35.44,35.86
P0385,BrandA Door,Personal Care,BrandB,105.08,158.79,33.82
P0386,BrandA Recent,Personal Care,BrandC,146.04,212.69,31.34
P0387,BrandA Happen,Apparel,BrandA,13.83,19.5,29.08
P0388,BrandA Scene,Electronics,BrandA,197.3,300.86,34.42
P0389,BrandC Occur,Personal Care,BrandB,154.95,277.24,44.11
P0390,BrandD Minute,Home & Kitchen,,92.46,178.02,48.06
P0391,BrandD Different,Personal Care,BrandA,138.13,234.22,41.03
P0392,BrandB Must,Home & Kitchen,BrandA,39.8,63.02,36.85
P0393,BrandB Put,Apparel,BrandA,152.45,301.95,49.51
P0394,BrandD Set,Personal Care,BrandD,165.56,219.0,24.4
P0395,BrandC Charge,Apparel,BrandC,41.75,78.81,47.02
P0396,BrandA Power,Electronics,BrandD,124.91,242.65,48.52
P0397,BrandA Officer,Apparel,BrandB,18.12,29.62,38.83
P0398,BrandD Always,Electronics,BrandB,149.41,218.44,31.6
P0399,BrandB Figure,Apparel,BrandA,32.33,64.47,49.85
P0400,BrandB Window,Home & Kitchen,BrandC,51.2,96.7,47.05
